Tool,Code,Description,Location,Line
CodeQL,py/code-injection,This code execution depends on a [user-provided value](1).,sarge_security/app.py,29.0
CodeQL,py/code-injection,Tainted data passed to sarge,sarge_security/app.py,44.0
CodeQL,py/code-injection,Tainted data passed to sarge,sarge_security/app.py,60.0
CodeQL,py/path-injection,This path depends on a [user-provided value](1).,sarge_security/app.py,68.0
CodeQL,py/code-injection,Tainted data passed to sarge,sarge_security/app.py,69.0
CodeQL,py/code-injection,Tainted data passed to sarge,sarge_security/app.py,87.0
